Status,Item,Candidate manufacturer,Candidate part or module,Exact MPN,Qty,Function,Package or module,Estimated unit cost USD,Source or URL,Notes
Planning,Controller/camera/storage,Seeed Studio,XIAO ESP32S3 Sense,TBD after exact revision verification,1,Camera controller USB Wi-Fi and microSD ecosystem,Maker module,TBD - live quote required,https://www.seeedstudio.com/XIAO-ESP32S3-Sense-p-5639.html,"Provisional; verify included camera sensor/lens, microSD board, pinout, USB mode, power, antenna keepout, lifecycle, and image quality"
Planning,Camera alternative,TBD,Higher-resolution ESP32-S3-compatible camera module,TBD,0,Contingency if baseline cannot resolve full-page text,Module,TBD - compare after optical spike,,"Do not order until field of view, interface, lens, supply, and host compatibility are validated"
Planning,Custom carrier PCB,TBD,FoldScan carrier board,TBD,1,Mounting protection controls illumination interface and test points,Custom KiCad PCB,TBD - fab quote required,,"Does not exist yet; requires editable schematic/PCB, ERC/DRC, fabrication review, and release outputs"
Planning,Capture switch,TBD,Momentary normally-open tactile or panel button,TBD,1,Physical capture request,Panel or PCB switch,TBD - live quote required,,"Select force, life, mounting, debounce, and accessible cap from datasheet"
Planning,Status indication,TBD,Visible LED plus current limiting or addressable indicator,TBD,1,Ready busy error and transfer status,PCB or panel,TBD - live quote required,,"Must not rely on color alone; exact device and resistor selected from ratings"
Planning,Illumination,TBD,Two visible-white LED bars or modules with diffusers,TBD,2,Even page illumination,Low-voltage module,TBD - live quote required,,"Select CRI, current, voltage, PWM compatibility, thermal path, flicker/banding performance, and source from evidence"
Planning,Light switch/driver,TBD,Logic-level protected low-side switch or LED driver,TBD,1,PWM control with safe-off default,PCB IC or MOSFET,TBD - live quote required,,"Exact topology follows measured light current and manufacturer application data; never drive load from GPIO"
Planning,USB cable,TBD,USB-C data-and-power cable,TBD,1,Power data flashing and recovery,Cable,TBD - live quote required,,"Verify data conductors, current rating, length, strain relief, and connector compatibility"
Planning,USB power supply,TBD,Certified 5 V SELV supply up to 3 A as design requires,TBD,1,External power source,Wall supply,TBD - live quote required,,"Non-schematic item; no mains circuitry inside FoldScan; select regional certification and current after power budget"
Planning,Arm/base/hinges,TBD,Parametric printed or fabricated foldable stand set,TBD,1,Camera positioning stability and folding,Mechanical assembly,TBD - prototype material quote required,,"Editable CAD required; include fasteners, inserts, optional clamp/weight, and replaceable hinge hardware"
Planning,Diffusers/page guides,TBD,Translucent diffusers and replaceable A4/Letter guides,TBD,1 set,Glare reduction and repeatable page alignment,Mechanical consumables,TBD - prototype material quote required,,"Material transmission, heat behavior, reflectance, and dimensions must be measured"
Planning,Fasteners/strain relief,TBD,Common metric fasteners inserts feet and cable restraints,TBD,1 set,Assembly serviceability and safe cable routing,Hardware set,TBD - live quote required,,"Non-schematic item; finalize from mechanical CAD and avoid trapped proprietary hardware"
